"Time (s) Run #1","Current (A) Run #1","Voltage (V) Run #1","ElectronCurrent (10^-10 A) Run #1"
8.250,1.798E-13,1.0,0.00
8.300,1.735E-13,1.0,0.00
8.350,1.655E-13,1.0,0.00
8.400,1.610E-13,1.1,0.00
8.450,1.526E-13,1.1,0.00
8.500,1.497E-13,1.1,0.00
8.550,1.494E-13,1.1,0.00
8.600,1.465E-13,1.1,0.00
8.650,1.377E-13,1.1,0.00
8.700,1.414E-13,1.1,0.00
8.750,1.425E-13,1.1,0.00
8.800,1.558E-13,1.1,0.00
8.850,1.335E-13,1.2,0.00
8.900,1.378E-13,1.2,0.00
8.950,1.420E-13,1.2,0.00
9.000,1.543E-13,1.2,0.00
9.050,1.619E-13,1.2,0.00
9.100,1.570E-13,1.2,0.00
9.150,1.442E-13,1.2,0.00
9.200,1.555E-13,1.2,0.00
9.250,1.577E-13,1.2,0.00
9.300,1.755E-13,1.2,0.00
9.350,1.755E-13,1.2,0.00
9.400,1.747E-13,1.2,0.00
9.450,1.754E-13,1.2,0.00
9.500,1.799E-13,1.2,0.00
9.550,1.621E-13,1.2,0.00
9.600,1.674E-13,1.2,0.00
9.650,1.807E-13,1.2,0.00
9.700,1.766E-13,1.3,0.00
9.750,1.812E-13,1.3,0.00
9.800,1.755E-13,1.3,0.00
9.850,1.818E-13,1.3,0.00
9.900,1.721E-13,1.3,0.00
9.950,1.810E-13,1.3,0.00
10.000,1.677E-13,1.3,0.00
10.050,1.814E-13,1.3,0.00
10.100,1.805E-13,1.3,0.00
10.150,1.718E-13,1.3,0.00
10.200,1.769E-13,1.3,0.00
10.250,1.884E-13,1.3,0.00
10.300,1.710E-13,1.3,0.00
10.350,1.844E-13,1.3,0.00
10.400,1.832E-13,1.3,0.00
10.450,1.689E-13,1.3,0.00
10.500,1.742E-13,1.3,0.00
10.550,1.759E-13,1.3,0.00
10.600,1.909E-13,1.3,0.00
10.650,1.904E-13,1.3,0.00
10.700,1.829E-13,1.3,0.00
10.750,1.830E-13,1.3,0.00
10.800,1.844E-13,1.3,0.00
10.850,1.932E-13,1.4,0.00
10.900,1.827E-13,1.4,0.00
10.950,1.840E-13,1.4,0.00
11.000,1.853E-13,1.4,0.00
11.050,1.676E-13,1.4,0.00
11.100,1.832E-13,1.4,0.00
11.150,1.809E-13,1.4,0.00
11.200,1.804E-13,1.4,0.00
11.250,1.835E-13,1.4,0.00
11.300,1.776E-13,1.4,0.00
11.350,1.781E-13,1.4,0.00
11.400,1.791E-13,1.4,0.00
11.450,1.772E-13,1.4,0.00
11.500,1.777E-13,1.5,0.00
11.550,1.788E-13,1.5,0.00
11.600,1.768E-13,1.5,0.00
11.650,1.779E-13,1.5,0.00
11.700,1.813E-13,1.5,0.00
11.750,1.790E-13,1.5,0.00
11.800,1.831E-13,1.5,0.00
11.850,1.791E-13,1.5,0.00
11.900,1.814E-13,1.5,0.00
11.950,1.769E-13,1.5,0.00
12.000,1.698E-13,1.5,0.00
12.050,1.770E-13,1.5,0.00
12.100,1.718E-13,1.5,0.00
12.150,1.669E-13,1.5,0.00
12.200,1.749E-13,1.5,0.00
12.250,1.731E-13,1.5,0.00
12.300,1.682E-13,1.5,0.00
12.350,1.608E-13,1.5,0.00
12.400,1.781E-13,1.5,0.00
12.450,1.780E-13,1.5,0.00
12.500,1.794E-13,1.5,0.00
12.550,1.858E-13,1.5,0.00
12.600,1.702E-13,1.5,0.00
12.650,1.869E-13,1.5,0.00
12.700,1.805E-13,1.5,0.00
12.750,1.884E-13,1.5,0.00
12.800,1.802E-13,1.5,0.00
12.850,1.815E-13,1.6,0.00
12.900,1.733E-13,1.6,0.00
12.950,1.741E-13,1.6,0.00
13.000,1.738E-13,1.6,0.00
13.050,1.729E-13,1.6,0.00
13.100,1.748E-13,1.6,0.00
13.150,1.737E-13,1.6,0.00
13.200,1.823E-13,1.6,0.00
13.250,1.731E-13,1.6,0.00
13.300,1.777E-13,1.6,0.00
13.350,1.874E-13,1.6,0.00
13.400,1.815E-13,1.6,0.00
13.450,1.741E-13,1.6,0.00
13.500,1.826E-13,1.6,0.00
13.550,1.715E-13,1.6,0.00
13.600,1.879E-13,1.6,0.00
13.650,1.775E-13,1.6,0.00
13.700,1.823E-13,1.6,0.00
13.750,1.805E-13,1.7,0.00
13.800,1.769E-13,1.7,0.00
13.850,1.801E-13,1.7,0.00
13.900,1.849E-13,1.7,0.00
13.950,1.798E-13,1.7,0.00
14.000,1.622E-13,1.7,0.00
14.050,1.638E-13,1.7,0.00
14.100,1.708E-13,1.7,0.00
14.150,1.614E-13,1.7,0.00
14.200,1.750E-13,1.7,0.00
14.250,1.779E-13,1.7,0.00
14.300,1.812E-13,1.7,0.00
14.350,1.726E-13,1.7,0.00
14.400,1.738E-13,1.7,0.00
14.450,1.854E-13,1.7,0.00
14.500,1.890E-13,1.7,0.00
14.550,1.854E-13,1.7,0.00
14.600,1.886E-13,1.7,0.00
14.650,1.858E-13,1.7,0.00
14.700,1.869E-13,1.8,0.00
14.750,2.008E-13,1.8,0.00
14.800,1.914E-13,1.8,0.00
14.850,1.891E-13,1.8,0.00
14.900,1.783E-13,1.8,0.00
14.950,1.813E-13,1.8,0.00
15.000,1.813E-13,1.8,0.00
15.050,1.696E-13,1.8,0.00
15.100,1.816E-13,1.8,0.00
15.150,1.779E-13,1.8,0.00
15.200,1.798E-13,1.8,0.00
15.250,1.864E-13,1.8,0.00
15.300,1.758E-13,1.8,0.00
15.350,1.862E-13,1.8,0.00
15.400,1.825E-13,1.8,0.00
15.450,1.747E-13,1.8,0.00
15.500,1.790E-13,1.8,0.00
15.550,1.921E-13,1.9,0.00
15.600,1.885E-13,1.9,0.00
15.650,1.787E-13,1.9,0.00
15.700,1.838E-13,1.9,0.00
15.750,1.859E-13,1.9,0.00
15.800,1.802E-13,1.9,0.00
15.850,1.764E-13,1.9,0.00
15.900,1.882E-13,1.9,0.00
15.950,1.945E-13,1.9,0.00
16.000,1.886E-13,1.9,0.00
16.050,1.857E-13,1.9,0.00
16.100,1.909E-13,1.9,0.00
16.150,1.873E-13,1.9,0.00
16.200,1.771E-13,1.9,0.00
16.250,1.914E-13,1.9,0.00
16.300,1.776E-13,1.9,0.00
16.350,1.696E-13,1.9,0.00
16.400,1.736E-13,1.9,0.00
16.450,1.674E-13,1.9,0.00
16.500,1.649E-13,1.9,0.00
16.550,1.726E-13,1.9,0.00
16.600,1.796E-13,1.9,0.00
16.650,1.781E-13,1.9,0.00
16.700,1.777E-13,1.9,0.00
16.750,1.661E-13,1.9,0.00
16.800,1.803E-13,1.9,0.00
16.850,1.831E-13,1.9,0.00
16.900,1.825E-13,1.9,0.00
16.950,1.752E-13,1.9,0.00
17.000,1.733E-13,1.9,0.00
17.050,1.809E-13,1.9,0.00
17.100,1.641E-13,1.9,0.00
17.150,1.670E-13,1.9,0.00
17.200,1.664E-13,1.9,0.00
17.250,1.710E-13,1.9,0.00
17.300,1.606E-13,1.9,0.00
17.350,1.597E-13,1.9,0.00
17.400,1.647E-13,1.9,0.00
17.450,1.525E-13,1.9,0.00
17.500,1.630E-13,1.9,0.00
17.550,1.542E-13,1.9,0.00
17.600,1.642E-13,1.9,0.00
17.650,1.630E-13,1.9,0.00
17.700,1.595E-13,2.0,0.00
17.750,1.624E-13,2.0,0.00
17.800,1.611E-13,2.0,0.00
17.850,1.654E-13,2.0,0.00
17.900,1.675E-13,2.0,0.00
17.950,1.565E-13,2.0,0.00
18.000,1.599E-13,2.0,0.00
18.050,1.631E-13,2.0,0.00
18.100,1.693E-13,2.0,0.00
18.150,1.649E-13,2.0,0.00
18.200,1.677E-13,2.0,0.00
18.250,1.759E-13,2.0,0.00
18.300,1.653E-13,2.0,0.00
18.350,1.611E-13,2.0,0.00
18.400,1.598E-13,2.0,0.00
18.450,1.660E-13,2.0,0.00
18.500,1.453E-13,2.1,0.00
18.550,1.383E-13,2.1,0.00
18.600,1.464E-13,2.1,0.00
18.650,1.432E-13,2.1,0.00
18.700,1.593E-13,2.1,0.00
18.750,1.537E-13,2.1,0.00
18.800,1.586E-13,2.1,0.00
18.850,1.628E-13,2.1,0.00
18.900,1.666E-13,2.1,0.00
18.950,1.652E-13,2.1,0.00
19.000,1.655E-13,2.1,0.00
19.050,1.545E-13,2.1,0.00
19.100,1.560E-13,2.1,0.00
19.150,1.544E-13,2.1,0.00
19.200,1.632E-13,2.1,0.00
19.250,1.605E-13,2.1,0.00
19.300,1.742E-13,2.1,0.00
19.350,1.669E-13,2.1,0.00
19.400,1.608E-13,2.1,0.00
19.450,1.691E-13,2.1,0.00
19.500,1.694E-13,2.1,0.00
19.550,1.666E-13,2.1,0.00
19.600,1.687E-13,2.1,0.00
19.650,1.681E-13,2.1,0.00
19.700,1.680E-13,2.1,0.00
19.750,1.660E-13,2.1,0.00
19.800,1.738E-13,2.1,0.00
19.850,1.649E-13,2.1,0.00
19.900,1.682E-13,2.1,0.00
19.950,1.715E-13,2.2,0.00
20.000,1.647E-13,2.2,0.00
20.050,1.715E-13,2.2,0.00
20.100,1.895E-13,2.2,0.00
20.150,1.741E-13,2.2,0.00
20.200,1.764E-13,2.2,0.00
20.250,1.758E-13,2.2,0.00
20.300,1.746E-13,2.2,0.00
20.350,1.775E-13,2.2,0.00
20.400,1.763E-13,2.2,0.00
20.450,1.776E-13,2.2,0.00
20.500,1.758E-13,2.2,0.00
20.550,1.737E-13,2.2,0.00
20.600,1.753E-13,2.2,0.00
20.650,1.752E-13,2.2,0.00
20.700,1.667E-13,2.2,0.00
20.750,1.781E-13,2.2,0.00
20.800,1.812E-13,2.2,0.00
20.850,1.863E-13,2.2,0.00
